#=================================================================
"# Scotia Wealth Management "
# Report suite: Scotiabank Prod
"# Date: Jan 31, 2021 - Feb 6, 2021"
# Segments: SWM
#=================================================================


##############################################
# Operating Systems
##############################################
,Unique Visitors
Operating Systems,5960
Windows 10,2961
OS X 10.15,609
Mobile iOS 14.3,543
Android 10,245
Windows 7,219


##############################################
# Browsers
##############################################
,Unique Visitors
Browser,5960
Google Chrome 88.0,1825
Safari 14.0,627
Microsoft Edge 88.0,364
Chrome Mobile 88.0,337
Microsoft Internet Explorer 11,327


##############################################
# Device
"# ""Unspecified"" typically refers to Desktop/Laptop"
##############################################
,Unique Visitors
Mobile Device,5960
None,4423
Apple iPhone,839
Apple iPad,204
Samsung Galaxy S10 (SM-G973W),24
Samsung Galaxy S9 (SM-G960W),23


##############################################
# Countries
##############################################
,Unique Visitors
Countries,5960
Canada,4585
United States,542
Mexico,280
Peru,191
United Kingdom,34
India,27
Colombia,24
Germany,23
Bahamas,15
Luxembourg,13
Belgium,13
Jamaica,13
Finland,12
Spain,11
Hong Kong SAR of China,9
Netherlands,9
Dominican Republic,8
Uruguay,8
Philippines,8
Cayman Islands,8
Brazil,8
France,7
Austria,7
Russian Federation,7
Singapore,6
Venezuela,5
Thailand,5
Australia,5
Costa Rica,4
Trinidad and Tobago,4
Saudi Arabia,3
Chile,3
Barbados,3
Portugal,3
Sweden,3
Japan,3
United Arab Emirates,2
Italy,2
Turkey,2
Bosnia and Herzegovina,2
China,2
Argentina,2
South Korea,2
Panama,2
Ireland,2
Nigeria,2
Ukraine,2
Israel,2
Pakistan,2
Turks and Caicos Islands,1


##############################################
# Regions
##############################################
,Unique Visitors
Regions,5960
Ontario (Canada),2398
British Columbia (Canada),592
Alberta (Canada),548
Quebec (Canada),521
Nova Scotia (Canada),156
Saskatchewan (Canada),153
Metropolitana De Lima (Peru),153
Ciudad De Mexico (Mexico),118
New Brunswick (Canada),99
Florida (United States),75
Manitoba (Canada),73
California (United States),60
Texas (United States),52
New York (United States),52
Virginia (United States),47
Newfoundland and Labrador (Canada),35
Louisiana (United States),34
Oregon (United States),33
Washington (United States),30
Wyoming (United States),29
Distrito Capital (Colombia),23
Iowa (United States),21
Mexico (Mexico),21
Jalisco (Mexico),20
New Jersey (United States),16
Nuevo Leon (Mexico),16
Illinois (United States),15
Arizona (United States),14
New Providence (Bahamas),14
Bruxelles-Capitale (Belgium),13
Luxemburg (Luxembourg),13
Prince Edward Island (Canada),13
Bayern (Germany),12
Uusimaa (Finland),12
Guanajuato (Mexico),11
Puebla (Mexico),10
Baja California (Mexico),10
Hong Kong (Hong Kong SAR of China),9
Kingston (Jamaica),9
Georgia (United States),9
Queretaro (Mexico),9
Noord-Holland (Netherlands),9
Distrito Nacional (Dominican Republic),8
Massachusetts (United States),8
Piura (Peru),8
Cayman Islands (Cayman Islands),8
Lambayeque (Peru),8
Maharashtra (India),8
La Libertad (Peru),7
Chihuahua (Mexico),7


#=================================================================
"# Site Traffic "
# Report suite: Scotiabank Prod
"# Date: Jan 31, 2021 - Feb 6, 2021"
# Segments: SWM
#=================================================================


##############################################
# Traffic Flow Flow
##############################################
Previous
Focus,Backstep 1,Path views
GWM:Home,,0
GWM:Home,Spanish,1


##############################################
# Traffic By Page Name
##############################################
,Unique Visitors
Page,5952
SB:en:swm:Wealth Management Canada - Scotia Wealth Management,2376
SB:en:swm:ScotiaMcLeod,902
SB:en:swm:ScotiaMcLeod online,532
SB:es:swm:Pagina principal,521
SB:en:swm:Investment Management Services Canada,357
SB:en:swm:Annual tax reporting,355
SB:en:swm:Private Banking,294
SB:en:swm:Tax slips checklist,292
SB:en:swm:Contact us,284
SB:en:swm:Important tax dates,222
SWM:Contact US,216
SB:en:swm:Scotiatrust,211
SB:en:swm:About us,208
SB:en:swm:Resource Centre,198
SB:en:swm:Total Wealth Planning,141
SB:en:swm:Private Investment Counsel,128
SB:fr:swm:Accueil,128
SB:en:swm:Home,96
SB:en:swm:The Scotiabank Women Initiative,82
SB:en:swm:Foundations,68
SB:en:swm:Frequently asked questions,65
SB:es:swm:Contrato de Inversion Scotiabank,64
swm:Thank You,45
SB:en:swm:J.P. Bickell Foundation,41
SB:es:swm:Contáctanos,38


##############################################
# Freeform table (2)
##############################################
,Unique Visitors
Page URL (c19),5960
https://www.scotiawealthmanagement.com/ca/en/home.html,1866
https://www.scotiawealthmanagement.com/ca/en/home/investment-management/scotiamcleod.html,618
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/scotiamcleod-online.html,524
https://www.scotiawealthmanagement.com/ca/en/home/resource-centre/tax/tax-slips-checklist.html,296
https://www.scotiawealthmanagement.com/ca/en/home/not-yet-a-client/contact-us.html,268
