#=================================================================
"# Scotia Wealth Management "
# Report suite: Scotiabank Prod
"# Date: May 29, 2022 - Jun 4, 2022"
# Segments: SWM
#=================================================================


##############################################
# Operating Systems
##############################################
,Unique Visitors
Operating Systems,5416
Windows 10,2418
OS X 10.15,835
Mobile iOS 15.5,525
Android 11,289
Mobile iOS 15.4.1,188


##############################################
# Browsers
##############################################
,Unique Visitors
Browser,5416
Google Chrome 102.0,776
Microsoft Edge 101.0,461
Google Chrome 101.0,457
Safari 15.5,418
Safari 15.4,323


##############################################
# Device
"# ""Unspecified"" typically refers to Desktop/Laptop"
##############################################
,Unique Visitors
Mobile Device,5416
None,3573
Apple iPhone,904
Apple iPad,146
Vivo V20 SE (V2022),65
Vivo Y20 (V2029),37


##############################################
# Countries
##############################################
,Unique Visitors
Countries,5416
Canada,3741
United States,475
India,422
Mexico,135
Bangladesh,63
Germany,48
United Kingdom,41
Brazil,41
Singapore,32
Pakistan,30
Australia,28
Japan,27
Czech Republic,26
Dominican Republic,19
Jamaica,18
Nigeria,16
Peru,15
France,15
Netherlands,15
Spain,14
Hong Kong SAR of China,12
Philippines,12
Colombia,9
Chile,9
Bahamas,9
Iraq,9
Turkey,7
Nepal,7
Russian Federation,6
Trinidad and Tobago,6
Cyprus,4
China,4
Finland,4
South Africa,4
Panama,4
Tanzania,4
Sri Lanka,4
Uganda,3
Egypt,3
Austria,3
Guatemala,3
Israel,3
Lebanon,3
Honduras,3
Costa Rica,2
Senegal,2
Ghana,2
Ecuador,2
Argentina,2
Taiwan region,2


##############################################
# Regions
##############################################
,Unique Visitors
Regions,5416
Ontario (Canada),1959
British Columbia (Canada),594
Alberta (Canada),439
Quebec (Canada),420
Nova Scotia (Canada),112
California (United States),99
Delhi (India),99
Manitoba (Canada),95
Ciudad De Mexico (Mexico),86
Oregon (United States),76
Saskatchewan (Canada),71
Virginia (United States),66
Maharashtra (India),60
Texas (United States),49
Dhaka (Bangladesh),40
Sao Paulo (Brazil),37
New Brunswick (Canada),35
Central (Singapore),32
Hessen (Germany),31
Bihar (India),31
Uttar Pradesh (India),30
Tamil Nadu (India),29
London (United Kingdom),27
Gujarat (India),27
Tokyo (Japan),27
Telangana (India),27
New South Wales (Australia),27
Rajasthan (India),26
Praha (Czech Republic),26
Florida (United States),25
New York (United States),25
Punjab (Pakistan),21
Karnataka (India),19
Distrito Nacional (Dominican Republic),18
New Jersey (United States),17
Kingston (Jamaica),15
Ile-De-France (France),15
Chittagong (Bangladesh),14
West Bengal (India),14
Newfoundland and Labrador (Canada),14
Bayern (Germany),13
Madhya Pradesh (India),13
Metropolitana De Lima (Peru),13
Washington (United States),13
Noord-Holland (Netherlands),13
Hong Kong (Hong Kong SAR of China),12
North Carolina (United States),12
Assam (India),12
Missouri (United States),10
Illinois (United States),10


#=================================================================
"# Site Traffic "
# Report suite: Scotiabank Prod
"# Date: May 29, 2022 - Jun 4, 2022"
# Segments: SWM
#=================================================================


##############################################
# Traffic Flow Flow
##############################################
Previous
Focus,Backstep 1,Path views
GWM:Home,,0
GWM:Home,Wealth Management Canada,1


##############################################
# Traffic By Page Name
##############################################
,Unique Visitors
Page,5362
SB:en:swm:Wealth Management Canada - Scotia Wealth Management,1846
SB:en:swm:ScotiaMcLeod® - Scotia Wealth Management,571
SB:en:swm:ScotiaMcLeod® Online - Scotia Wealth Management,456
SWM:Contact US,376
SB:en:swm:Private Banking - Scotia Wealth Management,240
SB:en:swm:Investment Management Services in Canada - Scotia Wealth Management,237
SB:en:swm:Scotiatrust® - Scotia Wealth Management,205
SB:es:swm:Pagina principal,195
SB:fr:swm:Gestion de patrimoine Canada - Gestion de patrimoine Scotia,178
SB:en:swm:About us - Scotia Wealth Management,166
SB:en:swm:The Scotiabank Women Initiative™ - Scotia Wealth Management,157
SB:en:swm:Wealth Management Services in Canada - Scotia Wealth Management,150
SB:en:swm:Home,111
SB:en:swm:Foundations - Scotia Wealth Management,91
SB:en:swm:Estate Planning & Trust Services - Scotia Wealth Management,85
SB:en:swm:Total Wealth Planning - Scotia Wealth Management,69
SB:en:swm:Private Investment Counsel - Scotia Wealth Management,66
SB:en:swm:Client Resource Centre - Scotia Wealth Management,65
SB:en:swm:Tailored solutions for individuals and families - Scotia Wealth Management,55
SB:en:swm:J.P. Bickell Foundation - Scotia Wealth Management,54
SB:en:swm:Borrowing to invest - Scotia Wealth Management,48
SB:en:swm:Concierge Banking - Pursuits™ - Scotia Wealth Management,47
SB:es:swm:Contrato de Inversion Scotiabank,42
swm:Thank You,36
SB:en:swm:Tailored Solutions - Scotia Wealth Management,30


##############################################
# Freeform table (2)
##############################################
,Unique Visitors
Page URL (c19),5416
