#=================================================================
"# Scotia Wealth Management "
# Report suite: Scotiabank Prod
"# Date: Sep 12, 2021 - Sep 18, 2021"
# Segments: SWM
#=================================================================


##############################################
# Operating Systems
##############################################
,Unique Visitors
Operating Systems,4314
Windows 10,2196
OS X 10.15,532
Mobile iOS 14.7.1,381
Android 11,214
Android 10,131


##############################################
# Browsers
##############################################
,Unique Visitors
Browser,4314
Google Chrome 93.0,1493
Safari 14.1,485
Chrome Mobile 93.0,362
Microsoft Edge 93.0,294
Safari 14.1.2,265


##############################################
# Device
"# ""Unspecified"" typically refers to Desktop/Laptop"
##############################################
,Unique Visitors
Mobile Device,4314
None,3092
Apple iPhone,660
Apple iPad,102
Samsung Galaxy S10 (SM-G973W),22
Samsung Galaxy S9 (SM-G960W),17


##############################################
# Countries
##############################################
,Unique Visitors
Countries,4314
Canada,3137
United States,387
Peru,191
Mexico,179
India,88
United Kingdom,31
Netherlands,25
Nepal,15
Colombia,14
Chile,13
Germany,13
Ethiopia,12
France,11
Jamaica,11
Spain,11
Bahamas,10
Finland,10
Nigeria,10
Russian Federation,9
Dominican Republic,7
Cayman Islands,7
Hong Kong SAR of China,6
Pakistan,6
Lithuania,6
Italy,5
Austria,5
Philippines,5
Brazil,5
Costa Rica,4
Argentina,4
Ireland,4
Trinidad and Tobago,4
China,3
South Korea,3
South Africa,3
Macedonia,3
Kenya,3
Mauritius,3
Malaysia,3
United Arab Emirates,2
Saudi Arabia,2
Barbados,2
Venezuela,2
Belgium,2
Portugal,2
Switzerland,2
Sri Lanka,2
Bolivia,2
Bangladesh,2
Kuwait,2


##############################################
# Regions
##############################################
,Unique Visitors
Regions,4314
Ontario (Canada),1817
British Columbia (Canada),396
Alberta (Canada),364
Quebec (Canada),274
Metropolitana De Lima (Peru),145
Ciudad De Mexico (Mexico),80
Nova Scotia (Canada),79
New Brunswick (Canada),65
California (United States),57
Virginia (United States),57
Manitoba (Canada),56
Saskatchewan (Canada),56
Oregon (United States),48
New York (United States),42
Newfoundland and Labrador (Canada),31
Florida (United States),22
Mexico (Mexico),19
Texas (United States),17
Noord-Holland (Netherlands),17
Wyoming (United States),17
Louisiana (United States),16
Maharashtra (India),14
Washington (United States),14
Region Metro De Santiago (Chile),13
Nuevo Leon (Mexico),13
Distrito Capital (Colombia),12
Addis Ababa (Ethiopia),12
Arequipa (Peru),11
Jalisco (Mexico),11
Prince Edward Island (Canada),11
Ile-De-France (France),11
Bagmati (Nepal),11
New Jersey (United States),11
Bayern (Germany),10
Uusimaa (Finland),10
La Libertad (Peru),10
Michigan (United States),10
Lagos (Nigeria),10
Kingston (Jamaica),10
New Providence (Bahamas),10
Delhi (India),10
Tamil Nadu (India),9
Zuid-Holland (Netherlands),7
Distrito Nacional (Dominican Republic),7
Cayman Islands (Cayman Islands),7
Chihuahua (Mexico),7
Uttar Pradesh (India),6
Hong Kong (Hong Kong SAR of China),6
District of Columbia (United States),6
Vilniaus (Lithuania),6


#=================================================================
"# Site Traffic "
# Report suite: Scotiabank Prod
"# Date: Sep 12, 2021 - Sep 18, 2021"
# Segments: SWM
#=================================================================


##############################################
# Traffic Flow Flow
##############################################
Previous
Focus,Backstep 1,Path views
GWM:Home,,0
GWM:Home,English,3


##############################################
# Traffic By Page Name
